"Notes"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Jun 30, 1979"	"1979/06/30"	97.87	73.16	99.33
	"Jul 01, 1979"	"1979/07/01"	97.32	71.98	97.15
	"Jul 02, 1979"	"1979/07/02"	95.89	71.75	97.38
	"Jul 03, 1979"	"1979/07/03"	96.13	73.04	98.94
	"Jul 04, 1979"	"1979/07/04"	93.90	73.45	97.11
	"Jul 05, 1979"	"1979/07/05"	91.39	73.46	94.46
	"Jul 06, 1979"	"1979/07/06"	90.57	73.79	94.21
	"Jul 07, 1979"	"1979/07/07"	91.98	75.04	95.37
	"Jul 08, 1979"	"1979/07/08"	94.94	73.99	98.30
	"Jul 09, 1979"	"1979/07/09"	95.64	73.78	98.12
	"Jul 10, 1979"	"1979/07/10"	95.45	74.72	97.92
	"Jul 11, 1979"	"1979/07/11"	96.13	73.35	96.50
	"Jul 12, 1979"	"1979/07/12"	96.48	72.64	97.99
	"Jul 13, 1979"	"1979/07/13"	95.46	73.11	98.01
	"Jul 14, 1979"	"1979/07/14"	95.54	73.52	98.92
	"Jul 15, 1979"	"1979/07/15"	96.14	74.83	100.03
	"Jul 16, 1979"	"1979/07/16"	94.75	75.16	97.59
	"Jul 17, 1979"	"1979/07/17"	90.90	75.45	94.05
	"Jul 18, 1979"	"1979/07/18"	85.84	73.98	90.21
	"Jul 19, 1979"	"1979/07/19"	84.16	71.98	89.97
	"Jul 20, 1979"	"1979/07/20"	85.65	72.23	89.02
	"Jul 21, 1979"	"1979/07/21"	88.50	73.61	91.67
	"Jul 22, 1979"	"1979/07/22"	91.95	74.91	96.61
	"Jul 23, 1979"	"1979/07/23"	94.63	74.89	98.72
	"Jul 24, 1979"	"1979/07/24"	95.58	74.73	101.50
	"Jul 25, 1979"	"1979/07/25"	93.31	75.38	99.25
	"Jul 26, 1979"	"1979/07/26"	89.28	74.49	95.69
	"Jul 27, 1979"	"1979/07/27"	91.24	73.87	95.50
	"Jul 28, 1979"	"1979/07/28"	94.53	75.03	99.36
	"Jul 29, 1979"	"1979/07/29"	96.23	74.53	99.97
	"Jul 30, 1979"	"1979/07/30"	95.62	73.80	98.75
	"Jul 31, 1979"	"1979/07/31"	93.68	73.98	98.65
	"Aug 01, 1979"	"1979/08/01"	90.10	75.52	93.64
	"Aug 02, 1979"	"1979/08/02"	92.60	73.65	95.16
	"Aug 03, 1979"	"1979/08/03"	92.44	74.27	94.00
	"Aug 04, 1979"	"1979/08/04"	93.50	72.12	94.99
	"Aug 05, 1979"	"1979/08/05"	94.22	72.41	96.51
	"Aug 06, 1979"	"1979/08/06"	94.82	73.07	97.30
	"Aug 07, 1979"	"1979/08/07"	95.09	74.10	98.02
	"Aug 08, 1979"	"1979/08/08"	93.76	74.73	95.75
	"Aug 09, 1979"	"1979/08/09"	92.00	73.02	94.41
	"Aug 10, 1979"	"1979/08/10"	94.18	74.28	97.13
	"Aug 11, 1979"	"1979/08/11"	86.75	73.46	89.45
	"Aug 12, 1979"	"1979/08/12"	88.44	70.93	90.07
	"Aug 13, 1979"	"1979/08/13"	92.08	72.19	95.90
	"Aug 14, 1979"	"1979/08/14"	92.07	74.27	94.42
	"Aug 15, 1979"	"1979/08/15"	90.70	72.40	93.02
	"Aug 16, 1979"	"1979/08/16"	90.29	72.02	92.01
	"Aug 17, 1979"	"1979/08/17"	90.54	72.53	93.35
	"Aug 18, 1979"	"1979/08/18"	91.86	72.86	94.45
	"Aug 19, 1979"	"1979/08/19"	93.47	72.10	95.59
	"Aug 20, 1979"	"1979/08/20"	94.06	73.14	96.24
	"Aug 21, 1979"	"1979/08/21"	94.87	73.15	97.83
	"Aug 22, 1979"	"1979/08/22"	94.16	74.74	95.78
	"Aug 23, 1979"	"1979/08/23"	93.33	74.45	94.54
	"Aug 24, 1979"	"1979/08/24"	91.95	71.99	92.13
	"Aug 25, 1979"	"1979/08/25"	89.57	71.58	90.49
	"Aug 26, 1979"	"1979/08/26"	91.35	71.43	93.41
	"Aug 27, 1979"	"1979/08/27"	91.64	72.90	93.95
	"Aug 28, 1979"	"1979/08/28"	93.35	72.12	95.68
